"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"3.3","Apollonius and conic sections","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86374","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Apollonius and conic sections
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86374/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">67 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.4","Conic sections as second degree curves","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86375","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Conic sections as second degree curves
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86375/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">52 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.5","Conic sections and quadrance","Quiz","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/95668","[]"
"3.6","Quadratic relations here there and everywhere","Video","02:30",150,"Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86387","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317692/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317692/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"3.7","Area is a quadratic function","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86388","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Area is a quadratic function
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86388/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">35 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.8","Euclidean geometry, distance and quadrance","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86373","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Euclidean geometry, distance and quadrance
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86373/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">39 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.9","Kinetic energy, bullets and collisions","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86389","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Kinetic energy, bullets and collisions
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86389/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">35 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.10","Aunty Florrie's cupcakes","Article","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86392","[<div class=""a-step-title"">
                  <h1 class=""a-article-h1 title"">
                    Aunty Florrie's cupcakes
                    <div class=""comments_link comments-link-heading""><a class=""link-to-comments"" aria-controls=""fl-comments-container"" href=""/courses/maths-linear-quadratic-relations/1/steps/86392/comments#fl-comments""><div class=""a-loader"">
                      <span class=""a-loader__ball a-loader__ball--1""/>
                      <span class=""a-loader__ball a-loader__ball--2""/>
                      <span class=""a-loader__ball a-loader__ball--3""/>
                    </div>
                    <i class=""icon"" data-icon=""!"" aria-hidden=""true""/>
                    <span class=""comment-link-content"">
                      <span class=""is-visually-hidden"">View</span>
                      <span class=""comment_link_title"">35 comments</span>
                    </span>
                    </a>
                    <div class=""notch""/>
                    </div>
                  </h1>
                </div>
                ]"
"3.11","Quadratic relations","Quiz","","","Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86393","[]"
"3.12","The parabola","Video","03:02",182,"Week 3","2016-07-11","11 Jul","Week 3: Conic sections and quadratic relations","https://www.futurelearn.com/courses/maths-linear-quadratic-relations/1/steps/86376","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/5317630/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/5317630/download/hd"">HD</a>
                  </div>
                </div>
                ]"
