"step_number","title","type","duration","duration_secs","week_label","week_datetime","week_date","week_heading","step_url","step_content"
"1.11","Check your understanding: Week 1","Quiz","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/71976","[]"
"1.12","The concept of culture","Video","03:45",225,"Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72734","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6435060/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6435060/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.13","Why does culture matter?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/74106","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Rupert Barkoff, one of our international franchise law experts, recalled a deal he was involved in where a soft ice-cream brand originating in the United States expanded to Japan.</p>
                  
                  <p>The US franchisor quite obviously did not undertake their due diligence as soft ice-cream was synonymous with a &#8216;sissy&#8217; product by Japanese consumers. The product was a complete failure. In an effort to save their brand and investment, the marketing team cleverly came up with an advertising campaign that had Japanese sumo-wrestlers eating the soft ice-cream. In Japanese culture, sumo wrestlers are synonymous with strength and honour. The image of these revered national icons consuming the soft ice-cream made the product more appealing to the greater consumer base.</p>
                  
                  <p>We ask you to share your thoughts here about:</p>
                  
                  <blockquote>
                    <ul>
                      <li>
                        <p>How you would suggest an incoming franchisor conduct cultural due diligence in your country.</p>
                      </li>
                      <li>
                        <p>What you should include in a Cultural Checklist for your country. Include as many aspects of culture as you can think of.</p>
                      </li>
                    </ul>
                  
                  </blockquote>
                  
                  <p>Do think about: how wealth is distributed, whether the country is governed by the rule of law?, whether the rule of law applies in reality or only on paper? and whether there are political or religious restrictions in the freedom of movement of goods, services, capital and expression?</p>
                  
                  <p>In your post please start by naming your country.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.14","Building and protecting the brand","Video","03:26",206,"Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72735","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6435074/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6435074/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.15","Do all things mean the same to all people?","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72736","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Can you think of any examples where words, images etc mean different things in different jurisdictions/cultures?</p>
                  
                  <p>In your post please start by naming your country.</p>
                  
                  <p>Here are some examples:
                  <a href=""http://www.realbeer.com/edu/health/calories.php"">Coors: American light beer</a> is low in calories, but not low in alcohol.</p>
                  
                  <p><a href=""https://www.brewsnews.com.au/2010/02/the-lightest-beer-in-the-world/"">Tooheys Australian light beer</a> is low on alcohol but makes no reference to calories.</p>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.16","Guest legal experts: Cultural dimensions","Video","08:14",494,"Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72815","[<div class=""video-options"">
                  <div class=""video-options__transcript"">
                    <a href=""#transcript-en"">View transcript</a>
                  </div>
                  <div class=""video-options__video"">
                    Download video:
                    <a class=""download"" data-video-quality=""SD"" href=""//view.vzaar.com/6435096/download"">standard</a>
                    or
                    <a class=""download"" data-video-quality=""HD"" href=""//view.vzaar.com/6435096/download/hd"">HD</a>
                  </div>
                </div>
                ]"
"1.17","Reflecting on the insights","Discussion","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72816","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>In the previous step you heard from our expert lawyers. Here we encourage you to reflect and share your thoughts and ideas on the following:</p>
                  
                  <blockquote>
                    <ul>
                      <li>What is &#8216;hidden regulation&#8217;? Can you suggest any examples from your country?</li>
                      <li>At what point do you think it is most useful for a franchisor to involve a lawyer in its decision to move overseas?</li>
                      <li>What is a reasonable turnaround time for a lawyer to review your franchise agreement?</li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"1.18","Check your understanding: Week 1","Test","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72737","[]"
"1.19","Additional resources","Article","","","Week 1","2016-03-21","21 Mar","Week 1: Introduction and cultural dimension","https://www.futurelearn.com/courses/international-franchise-law/1/steps/72738","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Here is a list of optional further resources for this week.</p>
                  
                  <p><strong>Open access resources</strong></p>
                  
                  <p><strong>Legislation and litigation</strong></p>
                  
                  <p>The courts sometimes have to consider what the essential elements of a franchise are and whether the situation in the case is covered by the country&#8217;s franchise law. An early example in Germany is the Pronuptia case.</p>
                  
                  <p>Please feel free to add other cases (via comments) where the law&#8217;s definition of &#8216;business format franchise&#8217; is interpreted in your country.</p>
                  
                  <ul>
                    <li><a href=""http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A61984CJ0161"">Pronuptia de Paris GmbH v Pronuptia de Paris Irmgard Schillgallis.</a>- Reference for a preliminary ruling: Bundesgerichtshof - Germany.  161/84. Judgment of the Court of 28 January 1986.]</li>
                  </ul>
                  
                  <p><strong>Government and quasi government resources</strong></p>
                  
                  <ul>
                    <li>
                      <p><a href=""http://www.doingbusiness.org/rankings"">World Bank Group Doing Business Rankings</a></p>
                    </li>
                    <li>
                      <p><a href=""http://www.transparency.org/research/cpi/overview"">Transparency International Corruption Perceptions index</a></p>
                    </li>
                  </ul>
                  
                  <p><strong>Media and academic research</strong></p>
                  
                  <ul>
                    <li>
                      <p><a href=""http://www.bluemaumau.org/"">Blue MauMau</a> - Site for franchise news and resources.</p>
                    </li>
                    <li>
                      <p>Eileen R Hurley, &#8216;Pronuptia de Paris v. Schillgalis: Permissible Restraints of Trade on Franchising in the EEC&#8217; Northwestern Journal of International Law &amp; Business 8(2) 1987, 476.</p>
                    </li>
                    <li>
                      <p>Derek Ronde, &#8216;TA &amp; K Enterprises Inc. v. Suncor Energy Products Inc.: Ontario Court of Appeal Number 532 Upholds Dismissal of A Proposed Class Action Involving Franchise Disclosure&#8217;, Commercial Times November 2011.</p>
                    </li>
                    <li>
                      <p>William Edwards, Edward (Ted) Levitt and Harold Kestenbaum, <a href=""http://www.franchise.org/sites/default/files/ek-pdfs/html_page/Basics-Track-International_2.pdf"">&#8216;World Conquest: The Do&#8217;s and Don&#8217;ts of International Franchise Expansion&#8217;</a> (Presented at International Franchise Association&#8217;s 45th legal Symposium ,Washington DC, 2012).</p>
                    </li>
                    <li>
                      <p>Arturs Kalnins and Laure Stroock, <a href=""http://scholarship.sha.cornell.edu/articles/226/"">&#8216;Pouring Israel into a Starbucks Cup&#8217;</a> 52(2) (2011) Cornell Hospitality Quarterly 135.</p>
                    </li>
                  </ul>
                  
                  <p><strong>Non-open access resources</strong></p>
                  
                  <p><strong>PLEASE NOTE: The following resources are paid resources and are completely optional. They are not required for completion of this course. These are available on payment of the fee, buying the publication, or via subscription.</strong></p>
                  
                  <ul>
                    <li>
                      <p>Mark Abell (ed), The Franchise Law Review, 2nd ed (Law Business Research, 2015).</p>
                    </li>
                    <li>
                      <p>Jenny Buchan, <a href=""http://www.tandfonline.com/doi/abs/10.1080/1046669X.2014.917015"">&#8216;Deconstructing the Franchise as a Legal Entity: Practice and Research in International Franchise Law&#8217;</a> (2014) 21(3) Journal of Marketing Channels Volume 143.</p>
                    </li>
                    <li>
                      <p>Jenny Buchan, Franchisees as Consumers Benchmarks, Perspectives and Consequences (Springer, 2013), <a href=""http://link.springer.com/book/10.1007/978-1-4614-5614-8"">Chapter 2.</a></p>
                    </li>
                    <li>
                      <p>Scott D Julian and Gary J Castrogiovanni,  <a href=""https://www.questia.com/library/journal/1G1-17355568/franchisor-geographic-expansion"">&#8216;Franchisor Geographic Expansion&#8217;</a> (1995) 33(2) Journal of Small Business Management 1.</p>
                    </li>
                    <li>
                      <p>E Garone, &#8216;The new face of franchisees&#8217;, The Wall Street Journal (New York), 19 August 2013.</p>
                    </li>
                    <li>
                      <p>Souichirou Kozuka and Albrecht Schulz, <a href=""http://www.globelawandbusiness.com/IFP/"">&#8216;The importance of cultural differences in international franchising&#8217;</a> in Marco Hero (ed), International Franchising, A Practitioner&#8217;s Guide (Globe Business Publishing, 2010) 163&#8211;174.</p>
                    </li>
                    <li>
                      <p>Rupert M. Barkoff and Joseph J. Fittante, Jr. (2015) <a href=""http://shop.americanbar.org/eBus/Store/ProductDetails.aspx?productId=214580416&amp;ptopic=Franchising%20Law%5EBusiness%20Law~Franchising%20Law&amp;sortby=Relevance&amp;perpage=36"">Fundamentals of Franchising</a>, Fourth Edition.</p>
                    </li>
                    <li>
                      <p>Rupert M Barkoff , Joseph J Fittante, Jr., Ronald Kenton Gardner Jr and Andrew C Selden (eds) <a href=""http://shop.americanbar.org/eBus/Store/ProductDetails.aspx?productId=214580416&amp;ptopic=Franchising%20Law%5EBusiness%20Law%7EFranchising%20Law&amp;sortby=Relevance&amp;perpage=36"">Fundamentals of Franchising</a> Fourth Edition (American Bar Association, 2015).</p>
                    </li>
                    <li>
                      <p>C M Sashi, Devi Prasad Karuppur, <a href=""http://www.emeraldinsight.com/doi/full/10.1108/02651330210445301"">&#8216;Franchising in global markets: towards a conceptual framework&#8217;</a> (2002) 19(5) International Marketing Review, 499.</p>
                    </li>
                    <li>
                      <p>Elizabeth Crawford Spencer, <a href=""http://www.tandfonline.com/doi/abs/10.1080/1046669X.2013.747858"">&#8216;An Exploration of the Legal Meaning of Franchising&#8217;</a> 20(1-2) Journal of Marketing Channels 25.</p>
                    </li>
                    <li>
                      <p>Will K Woods (ed), <a href=""http://shop.americanbar.org/eBus/Store/ProductDetails.aspx?productId=215739"">Fundamentals of International Franchising</a> (American Bar Association, 2013).</p>
                    </li>
                  </ul>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
"2.1","Learning outcomes for this week","Article","","","Week 2","2016-03-28","28 Mar","Week 2: Brand due diligence and domestic arrangements","https://www.futurelearn.com/courses/international-franchise-law/1/steps/75017","[<div class=""a-text-context a-text-context--bold-intro"">
                  <p>Welcome to week 2! This week we&#8217;re shifting our focus from the general introduction to franchising to due diligence.</p>
                  
                  <p>We start by revisiting Michelle and Brian and looking at the decisions they have to make about their domestic business before they are ready to test their brand in overseas markets. We&#8217;ll introduce the important concept of due diligence, and will consider what Michelle and Brian need to include in their franchise agreements. We&#8217;re looking forward to hearing from you during the week.</p>
                  
                  <p>After participating in this week&#8217;s learning activities, you will be able to:</p>
                  
                  <blockquote>
                    <ul>
                      <li>Identify the importance of undertaking due diligence.</li>
                      <li>Identify the key components of a thorough due diligence exercise.</li>
                      <li>Source the relevant and appropriate due diligence information and materials in a range of jurisdictions.</li>
                      <li>Assess the brand fit between the home and target jurisdiction.</li>
                      <li>Understand the difference between and characteristics of a franchise agreement and operating manual.</li>
                      <li>Recognise the nuances of the key individuals&#8217; roles and obligations within the franchising agreement.</li>
                    </ul>
                  </blockquote>
                  <div class=""body_copyright"">
                    <p>&#169; UNSW Australia 2016</p>
                  </div>
                </div>
                ]"
